txn_id,amount,date,merchant,type
TXN001,5000,2026-08-01,Amazon India,credit
TXN-002,18200,2026-08-02,Flipkart,credit
TXN003,735,2026-08-02,Swiggy,credit
TXN004,25000,2026-08-03,ACME LIMITED,credit
TXN005,1500,2026-08-03,Zomato,credit
TXN006,8200,2026-08-04,Flipkart,credit
TXN008,450,2026-08-05,Swiggy,credit
TXN009,95000,2026-08-05,ACME Ltd,credit
TXN010,600,2026-08-05,Zomato,credit
TXN011,11976,2026-08-06,AMZN India,credit
TXN012,3400,2026-08-06,Myntra,credit
TXN013,7800,2026-08-07,Flipkart,credit
TXN014,450,2026-08-07,Swiggy,credit
TXN015,22000,2026-08-07,ACME Ltd,credit
TXN016,5500,2026-08-08,Zomato,credit
TXN017,81000,2026-08-08,BigBasket,credit
TXN017,81000,2026-08-08,BigBasket,credit
TXN018,1200,2026-08-08,Myntra,credit
TXN019,34000,2026-08-09,Amazon India,credit
TXN020,900,2026-08-09,Swiggy,credit
TXN021,4500,2026-08-09,Flipkart,credit
TXN022,15000,2026-08-10,ACME Ltd,credit
TXN023,6700,2026-08-10,Zomato,credit
TXN024,2300,2026-08-10,Myntra,credit
TXN025,48000,2026-08-11,BigBasket,credit
TXN026,800,2026-08-11,Swiggy,credit
TXN027,19000,2026-08-11,Amazon India,credit
txn028,5200,2026-08-12,Flipkart,credit
TXN029,3100,2026-08-12,Zomato,credit
TXN030,72000,2026-08-12,ACME Ltd,credit
TXN031,1800,2026-08-13,Myntra,credit
TXN032,9500,2026-08-13,Amazon India,credit
TXN033,430,2026-08-13,Swiggy,credit
TXN034,26000,2026-08-14,BigBasket,credit
TXN035,4100,2026-08-14,Flipkart,credit
TXN036,784000,2026-08-14,ACME Ltd,credit
TXN037,1100,2026-08-15,Zomato,credit
TXN038,6300,2026-08-15,Amazon India,credit
TXN039,2800,2026-08-15,Myntra,credit
TXN040,15500,2026-08-16,Flipkart,credit
TXN041,920,2026-08-16,Swiggy,credit
TXN042,44000,2026-08-16,BigBasket,credit
TXN043,3300,2026-08-17,Zomato,credit
TXN044,58000,2026-08-17,ACME Ltd,credit
TXN045,1600,2026-08-17,Myntra,credit
TXN046,7200,2026-08-18,Amazon India,credit
TXN047,480,2026-08-18,Swiggy,credit
TXN048,21000,2026-08-18,Flipkart,credit
TXN049,4800,2026-08-19,Zomato,credit
TXN051,9900,2026-08-19,Unknown,credit
